Metric,Value
Collections found,12
Unique products,804
Product rows,12870
Pages,13
Candle/jewelry keyword matches,45

Included collection handles
a-frame-cabins-aframe-cabins
barndo-kits
barndominium-house-plans
barndominium-kits
cabins-for-sale
commercial-modular-buildings
granny-pods
house-kits
house-plans-home-plans-cabin-plans
prefab-homes
steel-barndominium-kits
tiny-homes

Required page handles
1-bed-1-bath-models
1-bed-1-bath-with-roof-top-deck-models
2-bed-2-bath-models
3-bed-3-bath-models
3-bed-3-bath-with-deck-models
4-bed-3-bath-models
about
contact
modern-living
multi-family
small-space
studio-models
the-cube-link-system
