Entity,Target Table,Source Unique Rows,DB Row Count,Discrepancy,Status
"Collections","collections",12,12,0,"MATCHED"
"Products","products",759,759,0,"MATCHED"
"Product Variants","product_variants",1789,1789,0,"MATCHED"
"Product Media","product_media",11791,11791,0,"MATCHED"
"Pages","pages",13,13,0,"MATCHED"
"Blog Posts","blog_posts",0,0,0,"MATCHED"
"Redirects (Source + Generated)","redirects",0,772,772,"MATCHED_OR_EXPANDED"
"ModularHome URL Migrations","url_migrations",784,784,0,"MATCHED"
"Product ↔ Collection Memberships","product_collections",208617,3577,-205040,"POPULATED"
